web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525501386-7190","http://www.nplg.gov.ge/ilia/ka/u4328/","13","http://www.nplg.gov.ge/ilia/ka/u4328/13/","შენგელაია, კალისტრატე თომას ძე","http://www.nplg.gov.ge/ilia/ka/00003730/","კალისტრატე თომას ძე შენგელაია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525502793-7836","http://www.nplg.gov.ge/ilia/ka/u4325/","21","http://www.nplg.gov.ge/ilia/ka/u4325/21/","ქუთათელაძე, ალექსი ილიას ძე","http://www.nplg.gov.ge/ilia/ka/00012045/","ალექსი ილიას ძე ქუთათელაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ხონის განყოფილების ნამდვილი წევრი (1916-)</li>","null","null","null","null","null","null"
"1525499077-6127","http://www.nplg.gov.ge/ilia/ka/u4330/","12","http://www.nplg.gov.ge/ilia/ka/u4330/12/","ციცქიშვილი, გიორგი მიხეილის ძე","http://www.nplg.gov.ge/ilia/ka/00006670/","გიორგი მიხეილის ძე ციცქიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1915-1917)</li>","null","null","null","null","null","null"
"1525502926-7896","http://www.nplg.gov.ge/ilia/ka/u4325/","25","http://www.nplg.gov.ge/ilia/ka/u4325/25/","ქუმსიაშვილი, ვასილ გიორგის ძე","http://www.nplg.gov.ge/ilia/ka/00008429/","ვასილ გიორგის ძე ქუმსიაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების კავკავის განყოფილების ნამდვილი წევრი (1915-)</li>","null","null","null","null","null","null"
"1525501376-7185","http://www.nplg.gov.ge/ilia/ka/u4328/","13","http://www.nplg.gov.ge/ilia/ka/u4328/13/","შენგელია, ალექსანდრე დავითის ძე","http://www.nplg.gov.ge/ilia/ka/00015264/","ალექსანდრე დავითის ძე შენგელია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების  ბათუმის განყოფილების წევრი (1916-)</li>","null","null","null","null","null","null"
"1525500615-6834","http://www.nplg.gov.ge/ilia/ka/u4329/","8","http://www.nplg.gov.ge/ilia/ka/u4329/8/","ჩერქეზიშვილი, კონსტანტინე ნიკოლოზის ძე","http://www.nplg.gov.ge/ilia/ka/00007828/","კონსტანტინე ნიკოლოზის ძე ჩერქეზიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1909-1917)</li>","null","null","null","null","null","null"
"1525499106-6139","http://www.nplg.gov.ge/ilia/ka/u4330/","10","http://www.nplg.gov.ge/ilia/ka/u4330/10/","ციციშვილი, არჩილ ივანეს ძე","http://www.nplg.gov.ge/ilia/ka/00004158/","არჩილ ივანეს ძე ციციშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1892-1900)</li>","null","null","null","null","null","null"
"1525502060-7499","http://www.nplg.gov.ge/ilia/ka/u4327/","7","http://www.nplg.gov.ge/ilia/ka/u4327/7/","ყიფიანი, ლეონტი ილარიონის ძე","http://www.nplg.gov.ge/ilia/ka/00014149/","ლეონტი ილარიონის ძე ყიფიანი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525500349-6712","http://www.nplg.gov.ge/ilia/ka/u4329/","15","http://www.nplg.gov.ge/ilia/ka/u4329/15/","ჩიქოვანი, ალექსანდრე ბახ.-ძე","http://www.nplg.gov.ge/ilia/ka/00003973/","ალექსანდრე ბახ.-ძე ჩიქოვანი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბათუმის განყოფილების წევრი (1913-)</li>","null","null","null","null","null","null"
"1525500658-6854","http://www.nplg.gov.ge/ilia/ka/u4329/","7","http://www.nplg.gov.ge/ilia/ka/u4329/7/","ჩახუნაშვილი, ალექსანდრე ბიჭიას ძე","http://www.nplg.gov.ge/ilia/ka/00010976/","ალექსანდრე ბიჭიას ძე ჩახუნაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ვანის განყოფილების წევრი (1915-)</li>","null","null","null","null","null","null"
